Driver,Team,LapNumber,Compound,TyreLife,Stint,Position,TrackStatus,LapTimeSeconds,FuelLoadApprox,StintProgress,CompoundEncoded,FreshTyre,TyreAgeSquared
VER,Red Bull Racing,1.0,SOFT,4.0,1.0,2.0,1,83.186,0.9848484848484849,0.1,0,0,16.0
VER,Red Bull Racing,2.0,SOFT,5.0,1.0,2.0,1,79.871,0.9696969696969697,0.125,0,0,25.0
VER,Red Bull Racing,3.0,SOFT,6.0,1.0,1.0,1,79.364,0.9545454545454546,0.15,0,0,36.0
VER,Red Bull Racing,4.0,SOFT,7.0,1.0,1.0,1,80.766,0.9393939393939394,0.175,0,0,49.0
VER,Red Bull Racing,5.0,SOFT,8.0,1.0,1.0,1,80.827,0.9242424242424242,0.2,0,0,64.0
VER,Red Bull Racing,6.0,SOFT,9.0,1.0,1.0,1,80.876,0.9090909090909091,0.225,0,0,81.0
VER,Red Bull Racing,7.0,SOFT,10.0,1.0,1.0,1,80.973,0.8939393939393939,0.25,0,0,100.0
VER,Red Bull Racing,8.0,SOFT,11.0,1.0,1.0,1,80.989,0.8787878787878788,0.275,0,0,121.0
VER,Red Bull Racing,9.0,SOFT,12.0,1.0,1.0,1,81.042,0.8636363636363636,0.3,0,0,144.0
VER,Red Bull Racing,10.0,SOFT,13.0,1.0,1.0,1,81.003,0.8484848484848485,0.325,0,0,169.0
VER,Red Bull Racing,11.0,SOFT,14.0,1.0,1.0,1,80.954,0.8333333333333334,0.35,0,0,196.0
VER,Red Bull Racing,12.0,SOFT,15.0,1.0,1.0,1,81.376,0.8181818181818181,0.375,0,0,225.0
VER,Red Bull Racing,13.0,SOFT,16.0,1.0,1.0,1,80.807,0.803030303030303,0.4,0,0,256.0
VER,Red Bull Racing,14.0,SOFT,17.0,1.0,1.0,1,80.989,0.7878787878787878,0.425,0,0,289.0
VER,Red Bull Racing,15.0,SOFT,18.0,1.0,1.0,1,81.097,0.7727272727272727,0.45,0,0,324.0
VER,Red Bull Racing,16.0,SOFT,19.0,1.0,1.0,1,81.223,0.7575757575757576,0.475,0,0,361.0
VER,Red Bull Racing,17.0,SOFT,20.0,1.0,1.0,1,84.876,0.7424242424242424,0.5,0,0,400.0
VER,Red Bull Racing,18.0,MEDIUM,1.0,2.0,4.0,1,97.657,0.7272727272727273,0.030303030303030304,1,1,1.0
VER,Red Bull Racing,19.0,MEDIUM,2.0,2.0,4.0,1,79.725,0.7121212121212122,0.06060606060606061,1,0,4.0
VER,Red Bull Racing,20.0,MEDIUM,3.0,2.0,4.0,1,79.966,0.696969696969697,0.09090909090909091,1,0,9.0
VER,Red Bull Racing,21.0,MEDIUM,4.0,2.0,3.0,1,80.304,0.6818181818181819,0.12121212121212122,1,0,16.0
VER,Red Bull Racing,22.0,MEDIUM,5.0,2.0,3.0,1,79.742,0.6666666666666667,0.15151515151515152,1,0,25.0
VER,Red Bull Racing,23.0,MEDIUM,6.0,2.0,3.0,1,79.605,0.6515151515151515,0.18181818181818182,1,0,36.0
VER,Red Bull Racing,24.0,MEDIUM,7.0,2.0,1.0,1,79.701,0.6363636363636364,0.21212121212121213,1,0,49.0
VER,Red Bull Racing,25.0,MEDIUM,8.0,2.0,1.0,1,79.363,0.6212121212121212,0.24242424242424243,1,0,64.0
VER,Red Bull Racing,26.0,MEDIUM,9.0,2.0,1.0,1,79.882,0.6060606060606061,0.2727272727272727,1,0,81.0
VER,Red Bull Racing,27.0,MEDIUM,10.0,2.0,1.0,1,79.694,0.5909090909090908,0.30303030303030304,1,0,100.0
VER,Red Bull Racing,28.0,MEDIUM,11.0,2.0,1.0,1,80.101,0.5757575757575757,0.3333333333333333,1,0,121.0
VER,Red Bull Racing,29.0,MEDIUM,12.0,2.0,1.0,1,79.792,0.5606060606060606,0.36363636363636365,1,0,144.0
VER,Red Bull Racing,30.0,MEDIUM,13.0,2.0,1.0,1,79.807,0.5454545454545454,0.3939393939393939,1,0,169.0
VER,Red Bull Racing,31.0,MEDIUM,14.0,2.0,1.0,1,80.011,0.5303030303030303,0.42424242424242425,1,0,196.0
VER,Red Bull Racing,32.0,MEDIUM,15.0,2.0,1.0,1,79.891,0.5151515151515151,0.45454545454545453,1,0,225.0
VER,Red Bull Racing,33.0,MEDIUM,16.0,2.0,1.0,1,79.836,0.5,0.48484848484848486,1,0,256.0
VER,Red Bull Racing,34.0,MEDIUM,17.0,2.0,1.0,1,79.958,0.48484848484848486,0.5151515151515151,1,0,289.0
VER,Red Bull Racing,35.0,MEDIUM,18.0,2.0,1.0,1,80.185,0.4696969696969697,0.5454545454545454,1,0,324.0
VER,Red Bull Racing,36.0,MEDIUM,19.0,2.0,1.0,1,79.926,0.4545454545454546,0.5757575757575758,1,0,361.0
VER,Red Bull Racing,37.0,MEDIUM,20.0,2.0,1.0,1,79.803,0.43939393939393945,0.6060606060606061,1,0,400.0
VER,Red Bull Racing,38.0,MEDIUM,21.0,2.0,1.0,1,79.813,0.4242424242424242,0.6363636363636364,1,0,441.0
VER,Red Bull Racing,39.0,MEDIUM,22.0,2.0,1.0,1,79.669,0.40909090909090906,0.6666666666666666,1,0,484.0
VER,Red Bull Racing,40.0,MEDIUM,23.0,2.0,1.0,1,80.31,0.3939393939393939,0.696969696969697,1,0,529.0
VER,Red Bull Racing,41.0,MEDIUM,24.0,2.0,1.0,1,79.648,0.3787878787878788,0.7272727272727273,1,0,576.0
VER,Red Bull Racing,42.0,MEDIUM,25.0,2.0,1.0,1,79.92,0.36363636363636365,0.7575757575757576,1,0,625.0
VER,Red Bull Racing,43.0,MEDIUM,26.0,2.0,1.0,1,80.301,0.3484848484848485,0.7878787878787878,1,0,676.0
VER,Red Bull Racing,44.0,MEDIUM,27.0,2.0,1.0,1,83.427,0.33333333333333337,0.8181818181818182,1,0,729.0
VER,Red Bull Racing,45.0,SOFT,1.0,3.0,3.0,1,97.053,0.31818181818181823,0.045454545454545456,0,1,1.0
VER,Red Bull Racing,46.0,SOFT,2.0,3.0,3.0,1,77.886,0.303030303030303,0.09090909090909091,0,0,4.0
VER,Red Bull Racing,47.0,SOFT,3.0,3.0,2.0,1,77.998,0.28787878787878785,0.13636363636363635,0,0,9.0
VER,Red Bull Racing,48.0,SOFT,4.0,3.0,1.0,1,78.416,0.2727272727272727,0.18181818181818182,0,0,16.0
VER,Red Bull Racing,49.0,SOFT,5.0,3.0,1.0,1,78.254,0.25757575757575757,0.22727272727272727,0,0,25.0
VER,Red Bull Racing,50.0,SOFT,6.0,3.0,1.0,1,78.074,0.24242424242424243,0.2727272727272727,0,0,36.0
VER,Red Bull Racing,51.0,SOFT,7.0,3.0,1.0,1,77.958,0.2272727272727273,0.3181818181818182,0,0,49.0
VER,Red Bull Racing,52.0,SOFT,8.0,3.0,1.0,1,77.931,0.21212121212121215,0.36363636363636365,0,0,64.0
VER,Red Bull Racing,53.0,SOFT,9.0,3.0,1.0,1,78.14,0.19696969696969702,0.4090909090909091,0,0,81.0
VER,Red Bull Racing,54.0,SOFT,10.0,3.0,1.0,1,77.776,0.18181818181818177,0.45454545454545453,0,0,100.0
VER,Red Bull Racing,55.0,SOFT,11.0,3.0,1.0,1,78.021,0.16666666666666663,0.5,0,0,121.0
VER,Red Bull Racing,56.0,SOFT,12.0,3.0,1.0,1,78.354,0.1515151515151515,0.5454545454545454,0,0,144.0
VER,Red Bull Racing,57.0,SOFT,13.0,3.0,1.0,1,78.127,0.13636363636363635,0.5909090909090909,0,0,169.0
VER,Red Bull Racing,58.0,SOFT,14.0,3.0,1.0,1,78.187,0.12121212121212122,0.6363636363636364,0,0,196.0
VER,Red Bull Racing,59.0,SOFT,15.0,3.0,1.0,1,78.114,0.10606060606060608,0.6818181818181818,0,0,225.0
VER,Red Bull Racing,60.0,SOFT,16.0,3.0,1.0,1,78.165,0.09090909090909094,0.7272727272727273,0,0,256.0
VER,Red Bull Racing,61.0,SOFT,17.0,3.0,1.0,1,78.36,0.0757575757575758,0.7727272727272727,0,0,289.0
VER,Red Bull Racing,62.0,SOFT,18.0,3.0,1.0,1,78.301,0.06060606060606055,0.8181818181818182,0,0,324.0
VER,Red Bull Racing,63.0,SOFT,19.0,3.0,1.0,1,78.543,0.045454545454545414,0.8636363636363636,0,0,361.0
VER,Red Bull Racing,64.0,SOFT,20.0,3.0,1.0,1,79.072,0.030303030303030276,0.9090909090909091,0,0,400.0
VER,Red Bull Racing,65.0,SOFT,21.0,3.0,1.0,1,79.467,0.015151515151515138,0.9545454545454546,0,0,441.0
VER,Red Bull Racing,66.0,SOFT,22.0,3.0,1.0,1,79.774,0.0,1.0,0,0,484.0
NOR,McLaren,1.0,SOFT,1.0,1.0,3.0,1,83.953,0.9848484848484849,0.02857142857142857,0,1,1.0
NOR,McLaren,2.0,SOFT,2.0,1.0,3.0,1,80.215,0.9696969696969697,0.05714285714285714,0,0,4.0
NOR,McLaren,3.0,SOFT,3.0,1.0,3.0,1,80.243,0.9545454545454546,0.08571428571428572,0,0,9.0
NOR,McLaren,4.0,SOFT,4.0,1.0,3.0,1,80.702,0.9393939393939394,0.11428571428571428,0,0,16.0
NOR,McLaren,5.0,SOFT,5.0,1.0,3.0,1,81.134,0.9242424242424242,0.14285714285714285,0,0,25.0
NOR,McLaren,6.0,SOFT,6.0,1.0,3.0,1,81.056,0.9090909090909091,0.17142857142857143,0,0,36.0
NOR,McLaren,7.0,SOFT,7.0,1.0,3.0,1,81.293,0.8939393939393939,0.2,0,0,49.0
NOR,McLaren,8.0,SOFT,8.0,1.0,3.0,1,81.443,0.8787878787878788,0.22857142857142856,0,0,64.0
NOR,McLaren,9.0,SOFT,9.0,1.0,3.0,1,81.143,0.8636363636363636,0.2571428571428571,0,0,81.0
NOR,McLaren,10.0,SOFT,10.0,1.0,3.0,1,81.223,0.8484848484848485,0.2857142857142857,0,0,100.0
NOR,McLaren,11.0,SOFT,11.0,1.0,3.0,1,81.285,0.8333333333333334,0.3142857142857143,0,0,121.0
NOR,McLaren,12.0,SOFT,12.0,1.0,3.0,1,81.354,0.8181818181818181,0.34285714285714286,0,0,144.0
NOR,McLaren,13.0,SOFT,13.0,1.0,3.0,1,81.432,0.803030303030303,0.37142857142857144,0,0,169.0
NOR,McLaren,14.0,SOFT,14.0,1.0,3.0,1,81.66,0.7878787878787878,0.4,0,0,196.0
NOR,McLaren,15.0,SOFT,15.0,1.0,2.0,1,81.541,0.7727272727272727,0.42857142857142855,0,0,225.0
NOR,McLaren,16.0,SOFT,16.0,1.0,2.0,1,80.471,0.7575757575757576,0.45714285714285713,0,0,256.0
NOR,McLaren,17.0,SOFT,17.0,1.0,2.0,1,80.908,0.7424242424242424,0.4857142857142857,0,0,289.0
NOR,McLaren,18.0,SOFT,18.0,1.0,1.0,1,80.447,0.7272727272727273,0.5142857142857142,0,0,324.0
NOR,McLaren,19.0,SOFT,19.0,1.0,1.0,1,80.635,0.7121212121212122,0.5428571428571428,0,0,361.0
NOR,McLaren,20.0,SOFT,20.0,1.0,1.0,1,80.816,0.696969696969697,0.5714285714285714,0,0,400.0
NOR,McLaren,21.0,SOFT,21.0,1.0,1.0,1,80.907,0.6818181818181819,0.6,0,0,441.0
NOR,McLaren,22.0,SOFT,22.0,1.0,1.0,1,80.928,0.6666666666666667,0.6285714285714286,0,0,484.0
NOR,McLaren,23.0,SOFT,23.0,1.0,1.0,1,85.185,0.6515151515151515,0.6571428571428571,0,0,529.0
NOR,McLaren,24.0,MEDIUM,1.0,2.0,6.0,1,97.673,0.6363636363636364,0.024390243902439025,1,1,1.0
NOR,McLaren,25.0,MEDIUM,2.0,2.0,5.0,1,78.503,0.6212121212121212,0.04878048780487805,1,0,4.0
NOR,McLaren,26.0,MEDIUM,3.0,2.0,5.0,1,79.856,0.6060606060606061,0.07317073170731707,1,0,9.0
