Year,Race,Driver,Team,LapNumber,Compound,TyreLife,Stint,Position,TrackStatus,LapTimeSeconds,DrivingStyleCluster,DrivingStyle
2024.0,Spain,VER,Red Bull Racing,1.0,SOFT,4.0,1.0,2.0,1.0,83.186,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,2.0,SOFT,5.0,1.0,2.0,1.0,79.871,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,3.0,SOFT,6.0,1.0,1.0,1.0,79.364,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,4.0,SOFT,7.0,1.0,1.0,1.0,80.766,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,5.0,SOFT,8.0,1.0,1.0,1.0,80.827,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,6.0,SOFT,9.0,1.0,1.0,1.0,80.876,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,7.0,SOFT,10.0,1.0,1.0,1.0,80.973,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,8.0,SOFT,11.0,1.0,1.0,1.0,80.989,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,9.0,SOFT,12.0,1.0,1.0,1.0,81.042,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,10.0,SOFT,13.0,1.0,1.0,1.0,81.003,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,11.0,SOFT,14.0,1.0,1.0,1.0,80.954,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,12.0,SOFT,15.0,1.0,1.0,1.0,81.376,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,13.0,SOFT,16.0,1.0,1.0,1.0,80.807,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,14.0,SOFT,17.0,1.0,1.0,1.0,80.989,3.0,Fast & Efficient Driver
