Year,Race,Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,TrackStatus
2023,Bahrain,VER,Red Bull Racing,1.0,0 days 00:01:39.019000,SOFT,4.0,1.0,1.0,12
2023,Bahrain,VER,Red Bull Racing,2.0,0 days 00:01:37.974000,SOFT,5.0,1.0,1.0,12
2023,Bahrain,VER,Red Bull Racing,3.0,0 days 00:01:38.006000,SOFT,6.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,4.0,0 days 00:01:37.976000,SOFT,7.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,5.0,0 days 00:01:38.035000,SOFT,8.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,6.0,0 days 00:01:37.986000,SOFT,9.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,7.0,0 days 00:01:38.021000,SOFT,10.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,8.0,0 days 00:01:38.154000,SOFT,11.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,9.0,0 days 00:01:38.278000,SOFT,12.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,10.0,0 days 00:01:38.369000,SOFT,13.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,11.0,0 days 00:01:38.483000,SOFT,14.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,12.0,0 days 00:01:38.591000,SOFT,15.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,13.0,0 days 00:01:38.482000,SOFT,16.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,14.0,0 days 00:01:41.295000,SOFT,17.0,1.0,1.0,1
2023,Bahrain,VER,Red Bull Racing,15.0,0 days 00:01:58.378000,SOFT,1.0,2.0,2.0,1
2023,Bahrain,VER,Red Bull Racing,16.0,0 days 00:01:37.801000,SOFT,2.0,2.0,2.0,1
2023,Bahrain,VER,Red Bull Racing,17.0,0 days 00:01:37.648000,SOFT,3.0,2.0,2.0,1
