Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,TrackStatus
VER,Red Bull Racing,1.0,0 days 00:01:49.827000,HARD,1.0,1.0,10.0,12
VER,Red Bull Racing,2.0,0 days 00:01:41.596000,HARD,2.0,1.0,9.0,12
VER,Red Bull Racing,3.0,0 days 00:01:41.510000,HARD,3.0,1.0,9.0,1
VER,Red Bull Racing,4.0,0 days 00:01:41.143000,HARD,4.0,1.0,9.0,1
VER,Red Bull Racing,5.0,0 days 00:01:41.308000,HARD,5.0,1.0,9.0,1
VER,Red Bull Racing,6.0,0 days 00:01:41.313000,HARD,6.0,1.0,8.0,1
VER,Red Bull Racing,7.0,0 days 00:01:40.423000,HARD,7.0,1.0,8.0,1
VER,Red Bull Racing,8.0,0 days 00:01:40.177000,HARD,8.0,1.0,8.0,1
VER,Red Bull Racing,9.0,0 days 00:01:40.264000,HARD,9.0,1.0,8.0,1
VER,Red Bull Racing,10.0,0 days 00:01:40.408000,HARD,10.0,1.0,8.0,1
VER,Red Bull Racing,11.0,0 days 00:01:40.423000,HARD,11.0,1.0,8.0,1
VER,Red Bull Racing,12.0,0 days 00:01:40.602000,HARD,12.0,1.0,8.0,1
VER,Red Bull Racing,13.0,0 days 00:01:40.693000,HARD,13.0,1.0,8.0,1
VER,Red Bull Racing,14.0,0 days 00:01:40.633000,HARD,14.0,1.0,8.0,1
VER,Red Bull Racing,15.0,0 days 00:01:40.206000,HARD,15.0,1.0,8.0,1
VER,Red Bull Racing,16.0,0 days 00:01:40.390000,HARD,16.0,1.0,8.0,1
VER,Red Bull Racing,17.0,0 days 00:01:40.481000,HARD,17.0,1.0,8.0,1
VER,Red Bull Racing,18.0,0 days 00:01:40.464000,HARD,18.0,1.0,8.0,1
VER,Red Bull Racing,19.0,0 days 00:01:40.746000,HARD,19.0,1.0,8.0,12
VER,Red Bull Racing,20.0,0 days 00:01:58.294000,HARD,20.0,1.0,6.0,14
VER,Red Bull Racing,21.0,,HARD,21.0,1.0,2.0,4
VER,Red Bull Racing,22.0,0 days 00:02:29.966000,HARD,22.0,1.0,2.0,41
VER,Red Bull Racing,23.0,0 days 00:01:43.346000,HARD,23.0,1.0,3.0,1
VER,Red Bull Racing,24.0,0 days 00:01:41.971000,HARD,24.0,1.0,4.0,1
VER,Red Bull Racing,25.0,0 days 00:01:40.700000,HARD,25.0,1.0,4.0,1
VER,Red Bull Racing,26.0,0 days 00:01:40.244000,HARD,26.0,1.0,4.0,1
VER,Red Bull Racing,27.0,0 days 00:01:41.180000,HARD,27.0,1.0,5.0,1
VER,Red Bull Racing,28.0,0 days 00:01:41.431000,HARD,28.0,1.0,6.0,1
VER,Red Bull Racing,29.0,0 days 00:01:40.437000,HARD,29.0,1.0,6.0,1
VER,Red Bull Racing,30.0,0 days 00:01:40.326000,HARD,30.0,1.0,6.0,1
VER,Red Bull Racing,31.0,0 days 00:01:40.247000,HARD,31.0,1.0,6.0,1
VER,Red Bull Racing,32.0,0 days 00:01:40.033000,HARD,32.0,1.0,6.0,1
VER,Red Bull Racing,33.0,0 days 00:01:40.087000,HARD,33.0,1.0,6.0,1
VER,Red Bull Racing,34.0,0 days 00:01:40.378000,HARD,34.0,1.0,6.0,1
VER,Red Bull Racing,35.0,0 days 00:01:40.266000,HARD,35.0,1.0,6.0,1
