Driver,count,mean,median,std,min,max
DEV,160,89.31476875,87.232,9.0404754579577,78.594,121.184
PIA,410,90.04754878048782,87.156,8.943704077983226,77.874,122.071
VER,628,91.13386464968153,88.36449999999999,9.352361153096613,76.33,138.778
SAR,332,91.25199397590362,87.94200000000001,9.05683471614075,79.247,132.438
SAI,630,91.39895238095238,88.747,8.800899692823103,78.403,119.006
LEC,578,91.45643944636679,88.9375,9.391440413695193,77.897,147.541
PER,624,91.57441025641026,89.2585,9.010994689205134,76.666,119.337
HAM,630,91.60513968253967,89.7535,9.187140224093188,76.676,123.697
ALO,592,91.61734966216216,89.791,8.375342625980855,78.083,120.922
OCO,566,91.70095936395761,89.0115,8.996862798359492,78.946,138.694
ALB,509,91.8373202357564,90.785,8.789414850991939,79.132,133.278
RUS,632,91.84309651898734,89.265,9.89811931352166,77.875,145.466
TSU,460,91.95385652173913,93.5755,8.646426908772028,78.904,121.989
NOR,625,92.0013088,89.857,9.65017835189589,77.115,129.886
STR,567,92.05917283950618,89.467,9.173230911667165,78.722,121.514
ZHO,564,92.2572304964539,91.63,8.895178724257034,78.753,127.673
GAS,619,92.5538901453958,90.683,9.615832540863632,78.375,149.129
HUL,493,92.56993711967546,96.723,9.571798190501955,78.609,132.037
BOT,615,92.68030406504066,89.267,9.045381257023832,78.242,121.914
MAG,617,92.83945056726094,91.193,9.306402654870531,78.069,134.785
COL,114,93.16570175438596,97.648,7.461299134702961,83.728,121.584
RIC,405,93.3014024691358,90.342,9.348933879944711,79.45,122.85
LAT,150,93.82025333333334,90.509,7.104522535602342,86.798,123.32
LAW,98,94.39422448979592,99.259,7.132689966293945,85.842,107.344
VET,92,94.95076086956522,89.9005,10.084315994902456,87.501,119.228
MSC,170,95.34068823529411,90.4985,8.996613606325313,85.298,121.846
