Driver,count,mean,median,std,min,max
HAM,4,157.5,168.5,101.06268681697843,24,269
SAI,4,157.5,147.0,117.0256382165891,27,309
VER,4,157.0,178.0,97.96257788904224,28,244
PER,4,156.0,163.5,97.24539406402067,37,260
GAS,4,154.75,155.0,87.01867615632865,48,261
MAG,4,154.25,169.0,81.81024793182495,44,235
BOT,4,153.75,185.5,104.76759995342071,6,238
ALO,4,148.0,166.0,93.35237900914291,20,240
LEC,4,144.5,145.0,118.51722800223322,6,282
STR,4,141.75,156.5,84.25506908588152,26,228
OCO,4,141.5,158.5,83.82720322186587,28,221
ZHO,4,141.0,145.0,105.96225743159684,8,266
PIA,3,136.66666666666666,152.0,38.370995990895686,93,165
RUS,5,126.4,161.0,105.5618302228604,6,258
HUL,4,123.25,113.5,63.09978869483901,57,209
TSU,4,115.0,118.5,45.4972526643093,56,167
ALB,5,101.8,121.0,82.79311565583215,10,213
RIC,4,101.25,86.0,76.79572470739066,25,208
NOR,7,89.28571428571429,45.0,100.68385220698548,1,252
SAR,4,83.0,86.0,41.368264809311654,30,130
COL,2,57.0,57.0,16.97056274847714,45,69
MSC,3,56.666666666666664,53.0,7.234178138070236,52,65
DEV,3,53.333333333333336,54.0,18.009256878986797,35,71
LAT,4,37.5,34.5,17.897858344878397,19,62
LAW,3,32.666666666666664,29.0,17.7857620959388,17,52
VET,3,30.666666666666668,28.0,9.29157324317757,23,41
