Compound,TyreLife,LapTimeSeconds
HARD,1.0,112.7923660130719
HARD,2.0,92.58988235294117
HARD,3.0,92.2228306878307
HARD,4.0,92.97666331658291
HARD,5.0,91.79960199004975
HARD,6.0,91.72109359605912
HARD,7.0,91.42432835820895
HARD,8.0,91.510235
HARD,9.0,91.43160301507537
HARD,10.0,91.27547959183673
HARD,11.0,91.19429743589743
HARD,12.0,91.40658883248732
HARD,13.0,91.324896373057
HARD,14.0,91.23373544973545
HARD,15.0,91.31693085106382
HARD,16.0,91.27122282608696
HARD,17.0,91.09113068181819
HARD,18.0,91.24049707602339
HARD,19.0,90.77265189873418
HARD,20.0,90.7398013245033
HARD,21.0,90.3625955882353
HARD,22.0,90.497984
HARD,23.0,89.82285294117648
HARD,24.0,89.77075824175824
HARD,25.0,89.36557317073171
HARD,26.0,90.49218181818182
HARD,27.0,89.23775714285715
HARD,28.0,90.13257971014492
HARD,29.0,90.01879032258064
HARD,30.0,90.60685964912281
HARD,31.0,91.50002083333334
HARD,32.0,91.86176744186047
HARD,33.0,90.63190322580645
HARD,34.0,92.23348484848485
HARD,35.0,92.32278571428571
HARD,36.0,92.41775
HARD,37.0,93.67800000000001
HARD,38.0,92.83353333333334
HARD,39.0,95.13591666666667
HARD,40.0,98.92446153846154
HARD,41.0,95.44222222222223
HARD,42.0,90.07675
HARD,43.0,90.02775
HARD,44.0,91.96233333333333
HARD,45.0,92.21666666666665
HARD,46.0,88.79650000000001
HARD,47.0,88.967
HARD,48.0,88.901
HARD,49.0,89.34649999999999
HARD,50.0,79.271
MEDIUM,1.0,104.47109395973153
MEDIUM,2.0,90.36187116564417
MEDIUM,3.0,90.13568786127168
MEDIUM,4.0,90.54465405405405
MEDIUM,5.0,90.84970680628273
MEDIUM,6.0,91.067609375
MEDIUM,7.0,91.07831052631579
MEDIUM,8.0,90.97116842105264
MEDIUM,9.0,91.06275935828877
MEDIUM,10.0,91.1858201058201
MEDIUM,11.0,91.30799418604651
MEDIUM,12.0,91.21123926380369
MEDIUM,13.0,91.07046198830409
MEDIUM,14.0,90.83937125748503
MEDIUM,15.0,90.81736538461539
MEDIUM,16.0,91.27932467532467
MEDIUM,17.0,91.38502702702704
MEDIUM,18.0,91.39735074626866
MEDIUM,19.0,90.40474311926606
MEDIUM,20.0,90.84483333333334
MEDIUM,21.0,91.45915555555555
MEDIUM,22.0,91.86093333333334
MEDIUM,23.0,91.95951515151516
MEDIUM,24.0,92.29286666666667
MEDIUM,25.0,91.66069387755101
MEDIUM,26.0,91.33532608695653
MEDIUM,27.0,91.6675
MEDIUM,28.0,93.32835714285714
MEDIUM,29.0,95.28045454545455
MEDIUM,30.0,92.87277777777778
MEDIUM,31.0,92.9408125
MEDIUM,32.0,92.25578571428572
MEDIUM,33.0,95.90166666666666
MEDIUM,34.0,95.91988888888889
MEDIUM,35.0,97.22766666666666
MEDIUM,36.0,103.28699999999999
MEDIUM,37.0,104.04
MEDIUM,38.0,106.395
MEDIUM,39.0,103.773
MEDIUM,40.0,101.794
SOFT,1.0,105.62206756756757
SOFT,2.0,92.33265
SOFT,3.0,94.0526440677966
SOFT,4.0,96.2308453038674
SOFT,5.0,91.52603465346536
SOFT,6.0,91.79455980861243
SOFT,7.0,92.15156930693068
SOFT,8.0,92.19206572769953
SOFT,9.0,92.41735576923078
SOFT,10.0,92.50362814070353
SOFT,11.0,92.60254822335025
SOFT,12.0,92.69593181818182
SOFT,13.0,92.24550303030303
SOFT,14.0,91.80995394736841
SOFT,15.0,91.68929166666666
SOFT,16.0,91.139234375
SOFT,17.0,90.59158
SOFT,18.0,90.2078705882353
SOFT,19.0,90.0022
SOFT,20.0,89.2799
SOFT,21.0,88.49008695652174
SOFT,22.0,87.98313513513514
SOFT,23.0,89.3204074074074
SOFT,24.0,88.93955555555556
SOFT,25.0,89.9204
SOFT,26.0,90.7924
SOFT,27.0,87.36166666666666
SOFT,28.0,90.49549999999999
SOFT,29.0,97.287
SOFT,30.0,97.901
SOFT,31.0,98.95
