Driver,TyreLife,LapTimeSeconds
ALB,1.0,106.78983333333333
ALB,2.0,90.8894090909091
ALB,3.0,93.56576923076923
ALB,4.0,94.75027586206896
ALB,5.0,92.13344827586207
ALB,6.0,92.12344827586206
ALB,7.0,92.32703571428571
ALB,8.0,92.57186206896552
ALB,9.0,92.46014285714286
ALB,10.0,92.15233333333333
ALB,11.0,92.78603571428572
ALB,12.0,91.74556000000001
ALB,13.0,91.67525
ALB,14.0,91.17219047619048
ALB,15.0,91.25984210526315
ALB,16.0,90.51505555555555
ALB,17.0,90.80635294117647
ALB,18.0,90.17435714285715
ALB,19.0,89.17472727272728
ALB,20.0,89.61090909090909
ALB,21.0,89.078
ALB,22.0,88.16885714285715
ALB,23.0,83.128
ALB,24.0,84.01599999999999
ALB,25.0,84.31925
ALB,26.0,83.80433333333333
ALB,27.0,83.59566666666667
ALB,28.0,83.52
ALB,29.0,85.61449999999999
ALB,30.0,85.5455
ALB,31.0,85.531
ALB,32.0,85.9935
ALB,33.0,85.4315
ALB,34.0,85.5865
ALB,35.0,86.223
ALB,36.0,85.37
ALB,37.0,87.569
ALB,38.0,87.197
ALB,39.0,87.433
ALO,1.0,109.09761538461538
ALO,2.0,95.22325
ALO,3.0,92.61754545454545
ALO,4.0,92.29522222222222
ALO,5.0,90.83858620689655
ALO,6.0,91.11027586206896
ALO,7.0,90.97082142857143
ALO,8.0,91.28243333333333
ALO,9.0,91.50219999999999
ALO,10.0,91.38573333333333
ALO,11.0,91.76124137931035
ALO,12.0,91.56734482758621
ALO,13.0,91.48917241379311
ALO,14.0,91.97144827586207
ALO,15.0,90.95572
ALO,16.0,90.78691666666667
ALO,17.0,91.18879166666666
ALO,18.0,90.18668181818181
ALO,19.0,88.69273684210526
ALO,20.0,89.05455555555555
ALO,21.0,89.3589375
ALO,22.0,89.90853846153846
ALO,23.0,90.33922222222222
ALO,24.0,89.95
ALO,25.0,89.96142857142857
ALO,26.0,91.6692857142857
ALO,27.0,87.3368
ALO,28.0,89.05375000000001
ALO,29.0,90.832
ALO,30.0,90.76966666666668
ALO,31.0,92.875
ALO,32.0,92.636
ALO,33.0,92.73849999999999
ALO,34.0,98.265
ALO,35.0,98.101
ALO,36.0,98.573
ALO,37.0,101.282
BOT,1.0,109.28811764705881
BOT,2.0,92.19425
BOT,3.0,91.67209090909091
BOT,4.0,93.32261538461537
BOT,5.0,91.62785714285714
BOT,6.0,91.66503846153847
BOT,7.0,92.93525
BOT,8.0,93.01341379310345
BOT,9.0,92.7109642857143
BOT,10.0,92.51249999999999
BOT,11.0,93.06716
BOT,12.0,93.06990476190477
BOT,13.0,92.56173913043479
BOT,14.0,92.27772727272728
BOT,15.0,92.47018181818181
BOT,16.0,92.30372727272727
BOT,17.0,92.28514285714286
BOT,18.0,92.3632
BOT,19.0,90.80623529411764
BOT,20.0,91.05870588235294
BOT,21.0,91.71107142857143
BOT,22.0,91.94378571428571
BOT,23.0,92.49557142857144
BOT,24.0,92.64921428571428
BOT,25.0,92.57985714285714
BOT,26.0,92.32114285714286
BOT,27.0,90.84854545454546
BOT,28.0,91.20709090909091
BOT,29.0,89.92871428571428
BOT,30.0,89.88985714285715
BOT,31.0,89.66485714285714
BOT,32.0,90.24071428571429
BOT,33.0,91.31616666666666
BOT,34.0,89.48679999999999
BOT,35.0,90.85633333333334
BOT,36.0,91.4765
BOT,37.0,91.90350000000001
BOT,38.0,102.282
BOT,39.0,102.059
BOT,40.0,110.101
COL,1.0,107.8785
COL,2.0,93.16775
COL,3.0,92.23949999999999
COL,4.0,92.10675
COL,5.0,92.218
COL,6.0,91.80775
COL,7.0,92.1455
COL,8.0,92.34725
COL,9.0,91.89375
COL,10.0,91.86
COL,11.0,91.85375
COL,12.0,92.0145
COL,13.0,92.17625
COL,14.0,92.3185
COL,15.0,92.18825
COL,16.0,93.36175
COL,17.0,93.87599999999999
COL,18.0,93.819
COL,19.0,93.91933333333334
COL,20.0,93.774
COL,21.0,94.45466666666665
COL,22.0,94.36433333333333
COL,23.0,94.36566666666666
COL,24.0,94.01666666666667
COL,25.0,94.15899999999999
COL,26.0,94.03466666666668
COL,27.0,95.62299999999999
COL,28.0,94.599
COL,29.0,97.0
COL,30.0,91.71199999999999
COL,31.0,91.7045
COL,32.0,91.3065
COL,33.0,84.474
COL,34.0,84.3
COL,35.0,84.186
COL,36.0,84.429
COL,37.0,83.728
DEV,1.0,104.81885714285714
DEV,2.0,87.954
DEV,3.0,89.2155
DEV,4.0,89.25175
DEV,5.0,89.2635
DEV,6.0,89.227875
DEV,7.0,89.3825
DEV,8.0,89.348
DEV,9.0,89.951
DEV,10.0,90.56414285714285
DEV,11.0,91.72566666666667
DEV,12.0,89.3074
DEV,13.0,87.133
DEV,14.0,87.5376
DEV,15.0,89.27616666666667
DEV,16.0,89.623
DEV,17.0,87.2654
DEV,18.0,86.7958
DEV,19.0,87.72319999999999
DEV,20.0,86.464
DEV,21.0,86.68475
DEV,22.0,86.37275
DEV,23.0,86.52925
DEV,24.0,87.258
DEV,25.0,86.94624999999999
DEV,26.0,86.50874999999999
DEV,27.0,86.22666666666667
DEV,28.0,90.07400000000001
DEV,29.0,91.71950000000001
GAS,1.0,111.20200000000001
GAS,2.0,91.72183333333334
GAS,3.0,92.06933333333333
GAS,4.0,93.82754545454546
GAS,5.0,91.2519090909091
GAS,6.0,91.20727272727274
GAS,7.0,92.04942424242424
GAS,8.0,91.97655882352942
GAS,9.0,92.17936363636363
GAS,10.0,91.87575
GAS,11.0,92.19027586206897
GAS,12.0,92.57786206896552
GAS,13.0,91.58033333333333
GAS,14.0,91.4975
GAS,15.0,91.27404
GAS,16.0,91.29304
GAS,17.0,90.64330434782607
GAS,18.0,90.88509523809523
GAS,19.0,90.16655555555556
GAS,20.0,89.79453333333335
GAS,21.0,89.75616666666667
GAS,22.0,90.05941666666666
GAS,23.0,90.46575
GAS,24.0,91.83825
GAS,25.0,91.7018
GAS,26.0,92.93599999999999
GAS,27.0,86.9295
GAS,28.0,92.515
GAS,29.0,99.559
GAS,30.0,100.9115
GAS,31.0,100.8405
GAS,32.0,99.72
GAS,33.0,100.261
GAS,34.0,99.833
GAS,35.0,100.036
GAS,36.0,101.0865
GAS,37.0,106.56899999999999
GAS,40.0,99.62
GAS,41.0,99.711
HAM,1.0,108.22246666666666
HAM,2.0,92.22747058823529
HAM,3.0,93.75285714285714
HAM,4.0,92.2407037037037
HAM,5.0,90.20631034482759
HAM,6.0,91.24029032258065
HAM,7.0,91.21900000000001
HAM,8.0,91.16112903225806
HAM,9.0,91.0551379310345
HAM,10.0,91.06535483870967
HAM,11.0,91.31099999999999
HAM,12.0,91.47622580645161
HAM,13.0,91.44873333333334
HAM,14.0,91.38803333333334
HAM,15.0,91.55558620689655
HAM,16.0,90.8276923076923
HAM,17.0,91.45764
HAM,18.0,90.5529090909091
HAM,19.0,89.9935
HAM,20.0,90.03694117647058
HAM,21.0,90.353
HAM,22.0,89.73686666666667
HAM,23.0,89.8656923076923
HAM,24.0,89.28133333333334
HAM,25.0,88.7593
HAM,26.0,87.18022222222221
HAM,27.0,89.83999999999999
HAM,28.0,90.83266666666667
HAM,29.0,90.72033333333333
HAM,30.0,92.77333333333333
HAM,31.0,92.5895
HAM,32.0,92.551
HAM,33.0,95.7985
HAM,34.0,98.647
HAM,35.0,98.627
HAM,36.0,98.669
HAM,37.0,98.352
HAM,38.0,98.634
HAM,39.0,99.121
HAM,40.0,99.034
HAM,41.0,98.686
HAM,42.0,99.006
HAM,43.0,98.793
HAM,44.0,99.114
HAM,45.0,99.693
HUL,1.0,111.4915
HUL,2.0,91.68042105263159
HUL,3.0,91.50414285714285
HUL,4.0,92.18975
HUL,5.0,91.41915999999999
HUL,6.0,92.36880769230768
HUL,7.0,91.43599999999999
HUL,8.0,91.33444
HUL,9.0,91.57799999999999
HUL,10.0,91.724
HUL,11.0,91.73346153846154
HUL,12.0,92.03366666666666
HUL,13.0,92.22426086956521
HUL,14.0,91.61495238095237
HUL,15.0,92.38185
HUL,16.0,91.49605263157895
HUL,17.0,91.73105555555554
HUL,18.0,92.681125
HUL,19.0,92.2743076923077
HUL,20.0,89.3708
HUL,21.0,90.22555555555556
HUL,22.0,88.96525
HUL,23.0,88.69033333333334
HUL,24.0,88.64883333333334
HUL,25.0,88.67349999999999
HUL,26.0,90.81414285714285
HUL,27.0,91.24719999999999
HUL,28.0,93.85979999999999
HUL,29.0,99.061
HUL,30.0,96.78133333333334
HUL,31.0,100.6155
HUL,32.0,98.723
HUL,34.0,101.918
HUL,35.0,101.16
HUL,36.0,101.285
HUL,37.0,101.41
HUL,39.0,101.538
HUL,40.0,104.766
LAT,1.0,110.98185714285715
LAT,2.0,93.605875
LAT,3.0,93.411125
LAT,4.0,95.03655555555555
LAT,5.0,92.91577777777778
LAT,6.0,93.02011111111112
LAT,7.0,93.64337499999999
LAT,8.0,93.525
LAT,9.0,94.01466666666667
LAT,10.0,94.0308
LAT,11.0,94.58377777777778
LAT,12.0,94.689375
LAT,13.0,93.57375
LAT,14.0,91.9905
LAT,15.0,91.9598
LAT,16.0,93.06775
LAT,17.0,92.02375
LAT,18.0,93.75566666666667
LAT,19.0,88.8
LAT,20.0,89.193
LAT,21.0,88.605
LAT,22.0,88.59
LAT,23.0,88.9665
LAT,24.0,90.598
LAT,25.0,87.284
LAT,26.0,88.779
LAT,27.0,88.415
LAT,28.0,87.331
LAT,29.0,87.99
LAT,30.0,87.452
LAW,3.0,102.51849999999999
LAW,4.0,102.32
LAW,5.0,92.8116
LAW,6.0,92.87140000000001
LAW,7.0,92.4254
LAW,8.0,92.50319999999999
LAW,9.0,92.5912
LAW,10.0,92.3828
LAW,11.0,92.4366
LAW,12.0,92.439
LAW,13.0,92.3964
LAW,14.0,92.48240000000001
LAW,15.0,92.76899999999999
LAW,16.0,93.4402
LAW,17.0,93.8545
LAW,18.0,93.92475
LAW,19.0,92.06266666666666
LAW,20.0,91.70166666666667
LAW,21.0,93.91499999999999
LAW,22.0,93.8385
LAW,23.0,91.843
LAW,26.0,99.132
LAW,28.0,99.386
LAW,29.0,99.783
LAW,30.0,101.093
LAW,31.0,100.801
LAW,32.0,99.95
LAW,34.0,99.884
LAW,35.0,99.803
LAW,36.0,99.962
LAW,37.0,101.698
LAW,39.0,101.91
LAW,40.0,103.089
LEC,1.0,106.253
LEC,2.0,89.27138095238095
LEC,3.0,90.1571739130435
LEC,4.0,91.53584000000001
LEC,5.0,90.0973076923077
LEC,6.0,92.27932142857142
LEC,7.0,91.43268
LEC,8.0,91.38377777777778
LEC,9.0,91.49346153846153
LEC,10.0,91.43874074074074
LEC,11.0,91.4654074074074
LEC,12.0,91.74946153846153
LEC,13.0,91.6022
LEC,14.0,91.81700000000001
LEC,15.0,90.80494999999999
LEC,16.0,91.05894736842104
LEC,17.0,91.49405555555556
LEC,18.0,91.35827777777779
LEC,19.0,91.55944444444444
LEC,20.0,91.385
