Driver,Stint,Team,Compound,StintLength,AvgLapTime,AvgTyreLife
ALB,1.0,Williams,MEDIUM,135,92.78634814814814,8.614814814814816
ALB,2.0,Williams,SOFT,213,91.53107511737089,13.915492957746478
ALB,3.0,Williams,SOFT,121,90.29355371900827,11.0
ALB,4.0,Williams,MEDIUM,30,96.13863333333333,8.233333333333333
ALB,5.0,Williams,SOFT,10,91.3241,8.5
ALO,1.0,Aston Martin,SOFT,184,91.91999999999999,11.804347826086957
ALO,2.0,Aston Martin,MEDIUM,240,92.15184166666667,14.4875
ALO,3.0,Aston Martin,HARD,148,90.12904054054054,11.013513513513514
ALO,4.0,Alpine,SOFT,20,93.43255,8.7
BOT,1.0,Kick Sauber,SOFT,217,93.76113824884793,15.47926267281106
BOT,2.0,Kick Sauber,SOFT,238,93.70341176470588,12.836134453781513
BOT,3.0,Kick Sauber,HARD,154,89.40340259740259,15.266233766233766
BOT,4.0,Alfa Romeo,SOFT,6,97.11399999999999,10.5
COL,1.0,Williams,MEDIUM,45,95.40993333333334,12.688888888888888
COL,2.0,Williams,HARD,69,91.70207246376812,17.840579710144926
DEV,1.0,AlphaTauri,SOFT,35,90.47437142857143,7.857142857142857
DEV,2.0,AlphaTauri,HARD,71,88.35481690140846,12.985915492957746
DEV,3.0,AlphaTauri,MEDIUM,54,89.82533333333333,14.555555555555555
GAS,1.0,Alpine,SOFT,159,93.66142138364779,11.320754716981131
GAS,2.0,Alpine,MEDIUM,261,94.3652337164751,12.973180076628353
GAS,3.0,Alpine,HARD,151,87.8822119205298,11.205298013245033
GAS,4.0,AlphaTauri,SOFT,48,93.73233333333333,10.208333333333334
HAM,1.0,Mercedes,SOFT,177,90.46664971751412,13.096045197740112
HAM,2.0,Mercedes,MEDIUM,269,93.22036802973977,13.985130111524164
HAM,3.0,Mercedes,SOFT,160,90.37509374999999,12.19375
HAM,4.0,Mercedes,SOFT,24,90.09779166666665,12.5
HUL,1.0,Haas F1 Team,SOFT,111,95.72485585585586,10.531531531531531
HUL,2.0,Haas F1 Team,MEDIUM,209,93.47445454545455,14.148325358851675
HUL,3.0,Haas F1 Team,HARD,116,88.79777586206896,10.439655172413794
HUL,4.0,Haas F1 Team,MEDIUM,57,90.78626315789474,10.75438596491228
LAT,1.0,Williams,SOFT,34,95.09261764705882,7.088235294117647
LAT,2.0,Williams,MEDIUM,62,93.18693548387097,11.951612903225806
LAT,3.0,Williams,SOFT,35,94.40971428571429,10.457142857142857
LAT,4.0,Williams,SOFT,19,92.52415789473685,10.631578947368421
LAW,1.0,AlphaTauri,MEDIUM,29,95.33472413793103,10.275862068965518
LAW,2.0,AlphaTauri,HARD,52,96.12690384615385,17.634615384615383
